lat,lng,时间,地点,寺庙（可无）,人物,事件
28.943003,118.861374,1324,浙江衢州,南禅寺,无印大证禅师,主持
29.683411,121.221085,1349,浙江奉化雪窦山,资圣禅寺,无印大证禅师,结庵
29.34358,116.874512,1338,江西上饶,祥符寺,无印大证禅师,结庵
25.854111,114.949089,1327,江西赣州,光孝寺,无印大证禅师,结庵
40.22077,116.23128,1322,北京大都,北京大都,无印大证禅师,游访
39.49933442,115.9718192,1270,雄州新城县,云居寺,菊庵法照,出家
36.092812,113.727898,1292,（河南）彰德府林州黄花山,觉仁禅寺,菊庵法照,主持
29.083664,115.594536,1318,云居山,云居山,菊庵法照,修寺
34.507702,112.941399,1322,嵩山,少林寺,菊庵法照,主持
30.522322,120.041801,1300,浙江湖州翔凤山,资福禅寺,元叟禅师,结庵
30.240852,120.101379,1312,浙江杭州,灵隐寺,元叟禅师,结庵
28.317301,121.357811,1296,浙江仙居紫箨山,广度禅寺,元叟禅师,主持、修寺
31.26663,121.001534,1316,昆山,荐严寺,元叟禅师,主持
28.51836,121.480644,1336,台州,兹源寺,元叟禅师,结庵
28.317301,121.357811,1340,浙江台州仙居紫箨山,广度禅寺,元叟禅师,主持
30.968241,120.046478,1297-1307,湖州弁山,,中峰明本,游访
30.3123,119.448158,1288,天目山,,中峰明本,出家
30.706528,116.466263,1298,皖山,,中峰明本,结庵
28.36112,121.13217,1300,雁荡山,,中峰明本,结庵
30.3123,119.448158,1304,天目山,,中峰明本,主持
34.507702,112.941399,1311,少林,,中峰明本,游访
31.124722,116.204444,1312,庐州六安山,,中峰明本,结庵
30.3123,119.448158,1314,天目山,,中峰明本,主持
30.32391543,119.380188,1322,中佳山,,中峰明本,结庵
40.25585,113.14013,1257,,龙山禅房寺,古岩普就,出家
36.361641,116.983734,1275,山东省济南市泰山,泰山灵岩寺,古岩普就,游访
39.946949,116.31179,1281,大都（北京）,万寿寺,古岩普就,游访
36.361641,116.983734,1302,山东省济南市泰山,泰山灵岩寺,古岩普就,主持
37.904018,114.319519,1308,,封龙山应觉寺,古岩普就,主持
30.219093,120.091042,1309,桐庐,天竺山灵栖寺,古岩普就,结庵
34.507702,112.941399,1313,嵩山,少林寺,古岩普就,主持
23.129103,113.256401,1204,,宛陵光孝寺,偃溪禅师,结庵
29.846893,121.743446,1215,育王山,广利禅寺,偃溪禅师,结庵
30.22941,120.148918,1218,,净慈报恩光孝禅寺,偃溪禅师,结庵
30.240852,120.101379,1254,,景德灵隐禅寺,偃溪禅师,结庵
30.379801,119.765167,1256,,径山兴圣万寿禅寺,偃溪禅师,结庵
32.054958,118.867897,1260-1264,,蒋山太平兴国寺,偃溪禅师,主持
34.507702,112.941399,1336,嵩山,少林寺,息庵义让,主持
38.94873,113.631935,1295,五台山,万圣佑国寺,成宗铁穆耳,修寺
28.694452,114.799599,1335,江西百丈山,大智寿圣禅寺,元顺帝、东阳德辉禅师,修撰
30.37239386,119.9803162,1278,杭州路余杭县南山,白云宗南山大普宁寺,null,修撰
29.54244,115.974419,1304,庐山,莲宗,null,修撰
25.0644921,102.6246214,1316,云南昆明玉案山,筇竹寺,元仁宗爱育黎拔力八达,修撰
28.89919,88.02172,1073,仲曲河北岸奔波日山,萨迦寺,贡却杰布,修寺
39.898914,116.43821,1308,大都城南（今北京市崇文区花市上四条）,南镇国寺大崇恩福元寺,武宗,修寺
34.592972,103.506958,1295,阿乃日扎大山腹地,卓尼大寺“禅定寺”,萨迦巴格西喜绕益西,修寺
28.869452,91.90377,1206,山南乃东县亚桑地方,雅桑寺,雅桑却结,修寺
30.516739,120.937431,1324——1327,中国浙江省嘉兴市海盐县,天宁永祚寺,楚石禅师,主持
32.054958,118.867897,1368,江苏省南京市紫金山,蒋山禅寺,楚石禅师,游访
30.516739,120.937431,1337,中国浙江省嘉兴市海盐县,天宁永祚寺,楚石禅师,主持
30.379801,119.765167,1358,中国浙江省杭州市余杭区径山镇,径山兴圣万寿禅寺,以中禅师,主持
32.003471,118.775558,1373,南京市雨花台,大天界寺（大龙翔集庆寺）,以中禅师,游访
28.989141,116.678564,1311,江西饶州,昌国寺（今无）,无印大证禅师,出家
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
34.507702,112.941399,1324-1329,嵩山,少林寺,文才法师（淳拙禅师）,主持
32.774921,111.47924,1329,河南邓县白崖山,香严寺,文才法师（淳拙禅师）,结庵、修撰
34.507702,112.941399,1345-1352,嵩山,少林寺,文才法师（淳拙禅师）,主持、修寺、修撰
24.66982,102.59559,1311,（云南）晋宁,null,文才法师（淳拙禅师）,游访
30.16964,121.26647,1242—1324,浙江,慈溪石门寺,云外禅师,结庵
29.475761,121.757767,1242—1324,象山智门寺,null,云外禅师,结庵
29.874142,121.543304,1242—1324,宁波,天宁寺、天童寺,云外禅师,结庵
39.89064,116.41433,1273—1340,,西京天庆寺,息庵义让,结庵
34.66067536,111.6834,1273—1340,,熊耳空相寺,息庵义让,结庵
36.361641,116.983734,1273—1340,,泰安灵岩寺,息庵义让,结庵
38.94873,113.631935,1257,五台山,,八思巴,游访、主持
35.25,106.15,1253,六盘山,,八思巴,游访
29.64945,91.131882,1265,拉萨萨迦寺,,八思巴,修寺
35.39509,103.85954,1271,临洮住夏,,八思巴,修寺
29.191452,88.765015,1277,后藏的曲弥仁摩地方（纳塘寺附近）,,八思巴,法会
