时间,在位皇帝,事件概括,描述,事件类型,对国家政治影响因子
1206,成吉思汗铁木真,,铁木真即位号成吉思汗，蒙古汗国建立,改革变法,4
1209,成吉思汗铁木真,,成吉思汗进攻西夏，维吾尔降附蒙古,战争交锋,5
1211,成吉思汗铁木真,,成吉思汗大举进攻金朝,战争交锋,5
1219,成吉思汗铁木真,,成吉思汗西征花剌子模,战争交锋,5
1223,成吉思汗铁木真,,成吉思汗西征结束,稳妥整顿,1
1227,拖雷,,成吉思汗病逝，幼子拖累监国。蒙古灭西夏,战争交锋,5
1229,窝阔台汗,,窝阔台即位,稳妥整顿,1
1234,窝阔台汗,,蒙古灭金,战争交锋,5
1235,窝阔台汗,,拔都西征俄罗斯，钦察，阔端，阔出征南宋，建立哈喇和林为首都,战争交锋,5
1240,窝阔台汗,,拔都西征军政府俄罗斯诸国,战争交锋,5
1241,窝阔台汗,,窝阔台卒，皇后乃马真氏，拔都兵分两路攻入马扎尔，渤烈儿，欧洲大震,战争交锋,5
1246,贵由汗,,由贵即位，乌斯藏归附蒙古,稳妥整顿,1
1248,贵由汗,,由贵卒，皇后称制,政治博弈,2
1251,蒙哥汗,,蒙哥即位大汗，弟弟忽必烈总领漠南汉地为军事长官，旭烈兀西征,战争交锋,5
1253,蒙哥汗,,忽必烈远征大理，平定其他,战争交锋,5
1256,蒙哥汗,,旭烈兀灭剌夷国,战争交锋,5
1257,蒙哥汗,元越战争开始,,战争交锋,5
1258,蒙哥汗,,旭烈兀灭阿巴斯哈里发王朝，蒙哥亲征南宋,战争交锋,5
1258,蒙哥汗,元越战争结束,,稳妥整顿,1
1259,蒙哥汗,,蒙哥死于四川,稳妥整顿,1
1260,元世祖忽必烈,,忽必烈即位，阿里不哥即位和林,政治博弈,2
1262,元世祖忽必烈,,益都军阀叛乱，败死,战争交锋,5
1263,元世祖忽必烈,,加号开平为上都,稳妥整顿,1
1264,元世祖忽必烈,,阿里不哥投降归附于忽必烈,战争交锋,5
1269,元世祖忽必烈,,蒙古创立新字颁行天下,改革变法,4
1269,元世祖忽必烈,,窝阔台后王海都，察合台后王八剌与忽必烈对抗,战争交锋,5
